S. No.,DISTRICT,STATE,Adult Prevalence,PLHIV Size,New HIV Infections,"Incidence per 1,000 Uninfected Population",Need of Services for EVTH,District Priority
1,Anjaw,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
2,Changlang,ARUNACHAL PRADESH,0.14,144,24,0.051,24,Very Low
3,East Kameng,ARUNACHAL PRADESH,0.075,99,24,0.051,24,Very Low
4,East Siang,ARUNACHAL PRADESH,0.174,99,24,0.227,24,Very Low
5,Kamle,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
6,Kra Daadi,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
7,Kurung Kumey,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
8,Lepa Rada,ARUNACHAL PRADESH,0.14,99,24,0.162,24,Very Low
9,Lohit,ARUNACHAL PRADESH,0.305,109,24,0.109,24,Low
10,Longding,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
11,Lower Dibang Valley,ARUNACHAL PRADESH,0.227,99,24,0.221,24,Low
12,Lower Siang,ARUNACHAL PRADESH,0.113,99,24,0.1,24,Very Low
13,Lower Subansiri,ARUNACHAL PRADESH,0.075,99,24,0.064,24,Very Low
14,Namsai,ARUNACHAL PRADESH,1.396,961,114,1.062,24,High
15,Pakke Kessang,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
16,Papum Pare,ARUNACHAL PRADESH,0.48,672,110,0.555,24,Moderate
17,Shi Yomi,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
18,Siang,ARUNACHAL PRADESH,0.148,99,24,0.17,24,Very Low
19,Tawang,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
20,Tirap,ARUNACHAL PRADESH,0.314,107,24,0.188,24,Low
21,Dibang Valley,ARUNACHAL PRADESH,0.075,99,24,0.0075,24,Very Low
22,Upper Siang,ARUNACHAL PRADESH,0.122,99,24,0.154,24,Very Low
23,Upper Subansiri,ARUNACHAL PRADESH,0.075,99,24,0.057,24,Very Low
24,West Kameng,ARUNACHAL PRADESH,0.131,99,24,0.052,24,Very Low
25,West Siang,ARUNACHAL PRADESH,0.131,99,24,0.166,24,Very Low
26,Baksa,ASSAM,0.075,474,24,0.0075,24,Very Low
27,Barpeta,ASSAM,0.075,944,40,0.025,24,Very Low
28,Biswanath,ASSAM,0.075,177,24,0.0075,24,Very Low
29,Bongaigaon,ASSAM,0.136,793,51,0.06,24,Very Low
30,Cachar,ASSAM,0.262,3646,47,0.023,29,Moderate
31,Charaideo,ASSAM,0.075,146,24,0.0075,24,Very Low
32,Darrang,ASSAM,0.1,727,45,0.043,24,Very Low
33,Dhemaji,ASSAM,0.075,327,24,0.031,24,Very Low
34,Dhubri,ASSAM,0.1,1003,24,0.011,24,Low
35,Dibrugarh,ASSAM,0.075,859,66,0.044,24,Very Low
36,Dima Hasao,ASSAM,0.109,193,24,0.017,24,Very Low
37,Goalpara,ASSAM,0.075,638,58,0.05,24,Very Low
38,Golaghat,ASSAM,0.109,1013,79,0.064,24,Low
39,Hailakandi,ASSAM,0.136,713,34,0.045,24,Very Low
40,Hojai,ASSAM,0.109,788,24,0.022,24,Very Low
41,Jorhat,ASSAM,0.127,1001,44,0.042,24,Low
42,Kamrup,ASSAM,0.136,1732,143,0.082,24,Low
43,Kamrup Metro,ASSAM,0.335,3938,308,0.215,31,Moderate
44,Karbi Anglong,ASSAM,0.154,809,24,0.031,24,Very Low
45,Karimganj,ASSAM,0.271,2522,49,0.035,24,Moderate
46,Kokrajhar,ASSAM,0.075,410,34,0.033,24,Very Low
47,Lakhimpur,ASSAM,0.075,446,24,0.012,24,Very Low
48,Majuli,ASSAM,0.075,99,24,0.014,24,Very Low
49,Morigaon,ASSAM,0.109,795,54,0.049,24,Very Low
50,Nagaon,ASSAM,0.308,4622,392,0.181,36,Moderate
51,Nalbari,ASSAM,0.109,728,45,0.051,24,Very Low
