STATE,YEAR,PREVALENCE,INCIDENCE,AIDS_DEATH,PLHIV_IN_THOUSANDS,Annual_New_HIV_Infection,Total_AIDS_Deaths,Need_of_Services_for_EVTH
ARUNACHAL PRADESH,2010,0.04,0.04,0.5,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2011,0.05,0.05,0.74,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2012,0.05,0.06,0.94,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2013,0.06,0.07,1.03,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2014,0.07,0.08,1.27,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2015,0.08,0.09,1.42,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2016,0.09,0.11,1.49,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2017,0.11,0.12,1.94,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2018,0.12,0.14,2.02,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2019,0.14,0.16,2.02,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2020,0.16,0.19,2.43,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2021,0.19,0.21,3.02,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2022,0.21,0.23,2.06,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2023,0.24,0.23,1.29,N/A,N/A,N/A,N/A
ARUNACHAL PRADESH,2024,0.26,0.21,1.05,2.63,328,16,25
ASSAM,2010,0.07,0.05,1.77,N/A,N/A,N/A,N/A
ASSAM,2011,0.08,0.05,1.73,N/A,N/A,N/A,N/A
ASSAM,2012,0.08,0.06,1.75,N/A,N/A,N/A,N/A
ASSAM,2013,0.08,0.05,1.75,N/A,N/A,N/A,N/A
ASSAM,2014,0.09,0.06,1.84,N/A,N/A,N/A,N/A
ASSAM,2015,0.09,0.06,1.91,N/A,N/A,N/A,N/A
ASSAM,2016,0.1,0.06,1.87,N/A,N/A,N/A,N/A
ASSAM,2017,0.1,0.07,1.86,N/A,N/A,N/A,N/A
ASSAM,2018,0.11,0.07,1.82,N/A,N/A,N/A,N/A
ASSAM,2019,0.11,0.07,1.64,N/A,N/A,N/A,N/A
ASSAM,2020,0.12,0.07,1.79,N/A,N/A,N/A,N/A
ASSAM,2021,0.12,0.08,2.08,N/A,N/A,N/A,N/A
ASSAM,2022,0.13,0.07,1.57,N/A,N/A,N/A,N/A
ASSAM,2023,0.13,0.06,0.93,N/A,N/A,N/A,N/A
ASSAM,2024,0.13,0.05,0.68,33.15,1757,243,262
MANIPUR,2010,1.74,0.45,57.43,N/A,N/A,N/A,N/A
MANIPUR,2011,1.66,0.42,50.02,N/A,N/A,N/A,N/A
MANIPUR,2012,1.56,0.38,55.54,N/A,N/A,N/A,N/A
MANIPUR,2013,1.47,0.37,52.65,N/A,N/A,N/A,N/A
MANIPUR,2014,1.39,0.44,49.54,N/A,N/A,N/A,N/A
MANIPUR,2015,1.32,0.41,46.78,N/A,N/A,N/A,N/A
MANIPUR,2016,1.25,0.37,39.51,N/A,N/A,N/A,N/A
MANIPUR,2017,1.18,0.32,34.74,N/A,N/A,N/A,N/A
